object,basic,check
stick,stick,
camera,camera,
book,book,
leaf,leaf,
ball,ball,
candy,candy,
betelnut,betelnut,
banana,banana,
spoon,spoon,
sugar cane,sugar cane,
tuber,tuber,
chips,chips,
rock,rock,
bean,bean,
toy car,car,
milk,milk,
hammock,hammock,
coconut,coconut,
baby bottle,bottle,
sago,sago,
knife-W,knife,
vest,vest,
bowl,bowl,
seafood,seafood,
shirt,shirt,
knife-M,knife,
wall,wall,
rope,rope,
stuffed animal,stuffed animal,1
plant,plant,
swing,swing,
stairs,stairs,
woven basket,basket,
guitar,guitar,
flower,flower,
shoe,shoe,
cup,cup,
corn,corn,
dirt,dirt,
guava,guava,
container,container,
tree,tree,
rice,rice,
phone,phone,
bread,bread,
bucket,bucket,
wood slat,wood,
action figure,action figure,1
papaya,papaya,
popsicle,popsicle,
shorts,shorts,
pot,pot,
broom,broom,
plastic bag,bag,
paper,paper,
cookie,cookie,
empty drink bottle,bottle,
purse,purse,
veranda,veranda,
comb,comb,
reusable water bottle,bottle,
blanket,blanket,
nut,nut,
pants,pants,
soda,soda,
chair,chair,
fruit,fruit,1
plastic bottle,bottle,
leafy green,leafy green,
bottle cap,cap,
tortilla,tortilla,
floor,floor,
table,table,
bready sheet,bread,
cardboard box,box,
pear,pear,
tongs,tongs,
door,door,
belt,belt,
cracker,cracker,
firewood,wood,
hay,hay,
cardboard packaging,cardboard,1
container lid,lid,
granola bar,granola bar,
grass,grass,
detergent,detergent,
noodles,noodles,
plate,plate,
tire,tire,
skirt,skirt,
apple,apple,
avocado,avocado,
rambutan,rambutan,
doll,doll,
fruit (unknown variety),fruit,1
orange,orange,
pencil,pencil,
coloring book,book,
sand,sand,
toothbrush,toothbrush,
mango,mango,
rebar,rebar,
rice ball,rice ball,
juice,juice,
money,money,
peanut,peanut,
plastic basket,basket,
dress,dress,
fabric,fabric,
mats,mats,
canoe,canoe,
house pile,house pile,
ribbon,ribbon,
weight,weight,
fence,fence,
bean soup,soup,
cotton debris,cotton,
slingshot,slingshot,
calculator,calculator,
paintbrush,paintbrush,
popsicle stick,stick,1
burlap,burlap,
embroidery ring,ring,1
mirror,mirror,
plastic tubing,tube,1
rubber fragment,rubber,
string,string,
tin container,container,
bench,bench,
government food packet,packet,1
passionfruit,passionfruit,
walking support,support,
baby bathtub,bathtub,
cat,cat,
marble,marble,
meat,meat,
marker,marker,
shell,shell,
weaving tool,weaving tool,1
citrus fruit,citrus,1
packaged snack,packaged snack,1
scrub brush,brush,
turtle,turtle,
chicharrones,chicharrones,1
plastic packaging,plastic,1
strainer,strainer,
toy turtle,turtle,
lotion,lotion,
rattle,rattle,
pen,pen,
toy bear,bear,
toy sink,sink,
bark,bark,
bulk food bag,bag,
coconut water,coconut water,1
lime,lime,
plastic,plastic,
tapioca,tapioca,
tarp,tarp,
corn plant,corn,1
masa,masa,
sock,sock,
drinking water,water,
jar,jar,
rubber band,rubber band,1
shoe box,box,
starfruit,starfruit,
vehicle,car,1
baby sling,sling,1
bed sheet,sheet,
fishnet,net,
knitting needle,needle,
notebook,notebook,1
peach,peach,
pipe instrument,pipe instrument,1
plant pot,pot,
safety pin,pin,
shovel,shovel,
wind up toy,wind up toy,1
yarn,yarn,
hat,hat,
mop,mop,
wagon,wagon,
wheelbarrow,wheelbarrow,
bubble wand,wand,1
cement fragment,cement,1
coral,coral,
mat,mat,
plastic clip,clip,
scissors,scissors,
teddy bear,bear,
crate,crate,1
gas canister,container,1
jug,jug,
plastic fragment,plastic,
sink,sink,
sponge,sponge,
sweater,sweater,
tassel,tassel,
tin foil,foil,
camera cover,fabric,1
chayote,chayote,
cleaning solution,cleaning solution,1
leaf wrapper,leaf,1
soap,soap,
trash,trash,
trash bin,bin,1
video game console,video game,1
bottled water,water,
bracelet,bracelet,
clothesline,clotheseline,1
crayon,crayon,
jacket,jacket,
shelf,shelf,
skewer,stick,1
tape,tape,
water,water,
wire,wire,
wood disc,disc,1
curtains,curtains,
feather,feather,
gardening hoe,hoe,1
mumu'd tuber paste,tuber paste,1
nail clippers,nail clippers,
pill package,medicine,1
screwdriver,screwdriver,
seed,seed,
barrel,barrel,
cacao,cacao,
dried mud chunk,mud,
fork,fork,
green toy,toy,1
hanger,hanger,
hose,hose,
jelly cup,jelly,1
lighter,ligher,
maraca,maraca,1
necklace,necklace,
pillar,pillar,1
window,window,
buoy,buoy,
fishing debris,fishing debris,1
flower toy,flower,1
lime dipping stick,stick,1
magazine,magazine,
metal pipe,pipe,1
pink toy,toy,1
pole,pole,1
rubber duck,duck,
towel,towel,
toy,toy,1
toy dinosaur,dinosaur,
toy teacup,cup,
walkie talkie,walkie talkie,
wash basin,sink,1
wooden pole,pole,
battery,battery,
beads,bead,
measuring tape,measuring tape,1
patio edge,patio,
pineapple,pineapple,
rug,rug,
salt,salt,
shell money,money,
stuffed holiday animal,stuffed animal,1
tag,tag,
television,television,
toothpaste,toothpaste,
water bottle carrier,bottle carrier,1
bed,bed,
bubbles,bubbles,
CD,CD,1
chick,chick,
coconut scraper,coconut scraper,1
coin bag,bag,
feather duster,duster,1
grape,grape,
gravel,gravel,1
hammer,hammer,
ladder,ladder,
lollipop stick,stick,1
medicine bottle,medicine,1
pacifier,pacifier,
paper airplane,plane,1
rake,rake,
roll of paper towels,towel,1
sandcastle mold,sandcastle mold,1
stems,stem,1
stereo,stereo,1
styrofoam,styrofoam,
suitcase,suitcase,
toy lamb,lamb,
underwear,underwear,
berry,berry,
brush,brush,
canteen,bottle,1
drainage tube,tube,1
energy drink,energy drink,1
large plastic bin,bin,1
lunchbox,lunchbox,1
meat bone,bone,1
metal clip,clip,
pillow,pillow,
plastic sheet,plastic,1
plastic toy,toy,1
roofing,roof,
shoelace,shoelace,1
spatula,spatula,
toy bird,bird,
vick's vapor rub,medicine,1
animal slap bracelet,bracelet,1
baby powder,powder,1
beaker,beaker,1
bike,bike,
blinds,blinds,
brick,brick,
canned food,can,1
canola oil,oil,
chicken,chicken,
child play mat,mat,
clothespin,clothespin,1
clothing,clothing,1
crowbar,crowbar,1
dog,dog,
drawer,drawer,
egg,egg,
flashlight,flashlight,
glasses,glasses,
green bean,grean bean,1
grinder,grinder,
hair clip,clip,
hatchet,knife,1
juice powder,juice,1
lantern,lantern,
level,level,
lightbulb,lightbulb,
log,log,1
medicine tube,medicine,1
metal chain,chain,
mobile,mobile,
mosquito net,net,1
nail,nail,
napkin,napkin,
newspaper,newspaper,
paint,paint,
princess bag,bag,
remote,remote,
ruler,ruler,
spiky toy,toy,1
support,support,
teletubby toy,teletubby,1
toy plate,plate,
toy tray,tray,
tsek,tsek,
water bottle strap,bottle carrier,1
wood shavings,wood,