sub_num,Image,object.corrected,exclusion.corrected,category
3946,20160811_100638_000.gif,stairs,,
3946,20160811_101423_000.gif,stairs,,
3946,20160811_101434_000.gif,stairs,,
3946,20160811_101444_000.gif,stairs,,
3946,20160811_101454_000.gif,stairs,,
3946,20160811_101506_000.gif,stairs,,
3946,20160811_120511_000.gif,stairs,,
5149,100711.gif,stairs,,
5629,082847.gif,wall,,
5629,082859.gif,wall,,
5629,083151.gif,stairs,,
5629,083201.gif,stairs,,
5629,083212.gif,stairs,,
5629,083456.gif,stairs,,
5629,083508.gif,stairs,,
5629,090039.gif,floor,,
5629,091146.gif,floor,,
5629,091422.gif,wall,,
5629,091558.gif,stairs,,
5629,091649.gif,wall,,
5629,091702.gif,wall,,
5629,091807.gif,floor,,
5629,095023.gif,walking support,,
5629,095033.gif,walking support,,
5629,095304.gif,walking support,,
5942,073602.gif,wall,,
5942,073612.gif,wall,,
5942,075220.gif,floor,,
5942,080651.gif,door,,
5942,082136.gif,shelf,,
5942,083120.gif,floor,,
5942,083242.gif,door,,
5942,083252.gif,door,,
5942,083917.gif,wall,,
5942,083927.gif,wall,,
5942,083959.gif,wall,,
5942,090007.gif,mat,,
5942,090048.gif,veranda,,
5942,090125.gif,door,,
5942,090225.gif,floor,,
5942,093125.gif,floor,,
3041,074841.gif,veranda,,
3041,074856.gif,veranda,,
3041,075031.gif,veranda,,
3041,075338.gif,stairs,,
3041,075353.gif,stairs,,
3041,075527.gif,floor,,
3041,091905.gif,stairs,,
3041,092347.gif,stairs,,
3041,092418.gif,stairs,,
3041,092433.gif,stairs,,
3041,093413.gif,veranda,,
3041,093429.gif,veranda,,
3041,093445.gif,veranda,,
3041,095554.gif,veranda,,
3041,102112.gif,stairs,,
3041,111738.gif,canoe,,
3041,114205.gif,veranda,,
3041,120832.gif,wall,,
3041,120933.gif,stairs,,
3041,124456.gif,stairs,,
3041,130411.gif,stairs,,
5348,072526.gif,wall,,
5348,075422.gif,stairs,,
5348,075439.gif,stairs,,
5348,075454.gif,stairs,,
5348,075509.gif,stairs,,
5348,075557.gif,stairs,,
5348,075922.gif,roofing,,
5348,080229.gif,stairs,,
5348,080346.gif,stairs,,
5348,081649.gif,veranda,,
5348,082758.gif,wall,,
5348,083049.gif,stairs,,
5348,083837.gif,stairs,,
5348,084128.gif,stairs,,
5348,090500.gif,wall,,
5348,090515.gif,wall,,
5348,102634.gif,stairs,,
5348,102705.gif,stairs,,
5348,102736.gif,stairs,,
5348,102752.gif,stairs,,
5348,102807.gif,stairs,,
5348,103046.gif,veranda,,
5348,103101.gif,veranda,,
5348,103133.gif,veranda,,
5348,103909.gif,veranda,,
5348,104352.gif,stairs,,
5348,110050.gif,stairs,,
5348,113604.gif,"stairs, sugarcane",,
5348,113619.gif,"stairs, sugarcane",,
5348,113912.gif,"stairs, sugarcane",,
5348,114937.gif,"stairs, sugarcane",,
5348,114952.gif,"stairs, sugarcane",,
5348,115539.gif,veranda,,
5348,115554.gif,veranda,,
5348,115812.gif,veranda,,
5348,115829.gif,stairs,,
5348,115844.gif,stairs,,
5348,120003.gif,floor,,
5348,131129.gif,wall,,
5348,131958.gif,coconut,,
5348,132045.gif,"stairs, tapioca",,
5348,132100.gif,stairs,,
5348,143757.gif,stairs,,
5348,143828.gif,house pile,,
5348,145723.gif,stairs,,
5348,150524.gif,stairs,,
9706,071941.gif,stairs,,
9706,073733.gif,wall,,
9706,081048.gif,stairs,,
9706,082727.gif,veranda,,
9706,082742.gif,veranda,,
9706,082759.gif,"veranda, house pile",,
9706,093235.gif,stairs,,
9706,093701.gif,wall,,
9706,094556.gif,"veranda, rock",,
9706,094612.gif,"veranda, rock",,
9706,100804.gif,wall,,
9706,103802.gif,wall,,
9706,103817.gif,window,,
9706,103923.gif,window,,
9706,104705.gif,,Unsure,
9706,134650.gif,ladder,,
9706,134705.gif,ladder,,
9706,140811.gif,veranda,,
4859,072237.gif,wall,,
4859,072252.gif,wall,,
4859,072307.gif,wall,,
4859,075421.gif,veranda,,
4859,075727.gif,veranda,,
4859,075743.gif,veranda,,
4859,140633.gif,stairs,,
4859,140736.gif,veranda,,
4859,140825.gif,stairs,,
4859,141718.gif,veranda,,
4859,141939.gif,veranda,,
4859,142841.gif,,Unsure,Synthetic
7333,20160822_055742_000.gif,"walking support, plastic",,
7333,20160822_074615_000.gif,"walking support, plastic",,
7333,20160822_074630_000.gif,"walking support, plastic",,
7333,20160822_074804_000.gif,"walking support, plastic",,
7333,20160822_131736_000.gif,house pile,,
1144,20160822_060443_000.gif,walking support,,
1144,20160822_060458_000.gif,walking support,,
1144,20160822_060627_000.gif,walking support,,
4830,20160822_072727_000.gif,house pile,,
4830,20160822_084105_000.gif,"house pile, tuber",,
4830,20160822_084153_000.gif,"house pile, tuber",,
4830,20160822_084211_000.gif,"house pile, tuber",,
7849,064336.gif,stairs,,
7849,064406.gif,stairs,,
7849,064423.gif,stairs,,
7849,064439.gif,stairs,,
7849,072335.gif,wooden board,,
7849,072351.gif,wooden board,,
7849,072406.gif,wooden board,,
7849,072453.gif,wooden board,,
7849,073226.gif,stairs,,
7849,075640.gif,"walking support, ribbon",,
7849,075655.gif,walking support,,
7849,075712.gif,walking support,,
7849,082915.gif,house pile,,
7849,082931.gif,house pile,,
7849,083106.gif,"walking support, ribbon",,
7849,083121.gif,"walking support, ribbon",,
7849,083617.gif,stairs,,
7849,083923.gif,walking support,,
7849,084025.gif,"walking support, ribbon",,
7849,084058.gif,walking support,,
7849,084113.gif,walking support,,
7849,084128.gif,walking support,,
7849,084317.gif,house pile,,
7849,085314.gif,house pile,,
7849,085417.gif,stairs,,
7849,085432.gif,stairs,,
7849,085633.gif,house pile,,
7849,090453.gif,stairs,,
7849,090508.gif,stairs,,
7849,090523.gif,stairs,,
7849,090540.gif,stairs,,
7849,090555.gif,stairs,,
7849,090642.gif,stairs,,
7849,090658.gif,stairs,,
7849,091139.gif,stairs,,
7849,122246.gif,walking support,,
7849,122304.gif,walking support,,
7849,122422.gif,walking support,,
7849,122438.gif,walking support,,
7849,123001.gif,stairs,,
7849,123018.gif,"stairs, betelnut",,
7849,123033.gif,"stairs, betelnut",,
7718,064711.gif,wall,,
7718,064859.gif,wall,,
7718,064936.gif,wall,,
7718,064951.gif,wall,,
7718,065006.gif,wall,,
7718,065053.gif,wall,,
7718,065159.gif,wall,,
7718,065214.gif,wall,,
7718,065229.gif,wall,,
7718,065247.gif,wall,,
7718,065302.gif,wall,,
7718,065317.gif,wall,,
7718,065401.gif,wall,,
7718,065521.gif,floor,,
7718,065623.gif,floor,,
7718,065641.gif,wall,,
7718,070235.gif,table,,
7718,071246.gif,stairs,,
7718,101143.gif,bench,,
7718,101419.gif,wall,,
7718,103446.gif,wall,,
7718,103501.gif,wall,,
7718,103547.gif,wall,,
7718,103603.gif,wall,,
7718,103634.gif,"wall, nail",,
7718,103649.gif,wall,,
7718,103704.gif,wall,,
7718,103722.gif,wall,,
7718,103737.gif,wall,,
7718,103752.gif,wall,,
7718,103809.gif,wall,,
7718,103824.gif,wall,,
7718,103839.gif,wall,,
7718,103855.gif,wall,,
7718,103910.gif,wall,,
7718,103958.gif,wall,,
7718,104013.gif,wall,,
7718,104100.gif,wall,,
7718,104117.gif,wall,,
7718,104204.gif,wall,,
7718,104219.gif,wall,,
7718,105240.gif,wall,,
7718,105459.gif,bench,,
7718,105514.gif,wall,,
7718,105546.gif,wall,,
7718,105616.gif,wall,,
7718,105633.gif,wall,,
7718,105704.gif,wall,,
7718,105735.gif,wall,,
7718,105817.gif,wall,,
7718,105832.gif,wall,,
7718,105904.gif,wall,,
7718,105920.gif,wall,,
7718,110022.gif,wall,,
7718,110040.gif,wall,,
7718,110126.gif,wall,,
7718,110213.gif,wall,,
7718,135743.gif,wall,,
7718,135848.gif,wall,,
7718,140007.gif,veranda,,
5217,074212.gif,floor,,
5217,074227.gif,wall,,
5217,074243.gif,wall,,
5217,075424.gif,stairs,,
5217,075439.gif,stairs,,
5217,075455.gif,stairs,,
5217,075558.gif,veranda,,
5217,075613.gif,veranda,,
5217,075744.gif,veranda,,
5217,080313.gif,house pile,,
5217,080943.gif,house pile,,
5217,081049.gif,bench,,
5217,081105.gif,bench,,
5217,084430.gif,house pile,,
5217,084549.gif,floor,,
5217,084604.gif,floor,,
5217,085652.gif,veranda,,
5217,085707.gif,veranda,,
5217,085722.gif,house pile,,
5217,091214.gif,floor,,
5217,091244.gif,stairs,,
5217,091317.gif,stairs,,
5217,091349.gif,stairs,,
5217,091537.gif,stairs,,
5217,091552.gif,door,,
5217,091610.gif,wall,,
5217,091625.gif,wall,,
5217,091640.gif,wall,,
5217,091657.gif,wall,,
5217,091727.gif,door,,
5217,091743.gif,wall,,
5217,091901.gif,wall,,
5217,092950.gif,veranda,,
5217,095725.gif,house pile,,
5217,101310.gif,house pile,,
5217,101944.gif,stairs,,
5217,102157.gif,veranda,,
5217,125936.gif,floor,,
5217,131352.gif,wall,,
5217,131407.gif,wall,,
5217,131422.gif,wall,,
5217,131509.gif,wall,,
5217,131627.gif,wall,,
2677,20160831_092658_000.gif,"stairs, knife",,
6191,20160831_073340_000.gif,"walking support, shirt",,
6191,20160831_121442_000.gif,"wall, stick",,
6852,145225.gif,,Unsure,Synthetic
6852,145326.gif,door,,
6852,151149.gif,roofing,,
6852,151346.gif,"wall, stick",,
6852,152409.gif,door,,
6852,152441.gif,door,,
6852,152644.gif,door,,
6852,152714.gif,wall,,
6852,152947.gif,door,,
6852,154932.gif,fence,,
6852,155216.gif,fence,,
6852,155317.gif,fence,,
6852,155339.gif,fence,,
6852,155511.gif,fence,,
6852,155541.gif,fence,,
6852,155612.gif,fence,,
6852,155642.gif,fence,,
6852,155722.gif,fence,,
6852,155752.gif,fence,,
6852,160157.gif,fence,,
6852,160459.gif,fence,,
6852,161005.gif,fence,,
6852,161238.gif,curb,,
6852,161636.gif,table,,
6852,161708.gif,door,,
6852,161737.gif,,Exclude,
6852,161838.gif,window,,
6852,161908.gif,window,,
6852,161938.gif,window,,
6852,162313.gif,ladder,,
6852,162844.gif,baby bottle,,
6852,163147.gif,,None,
6852,172522.gif,shoe,,
6852,193013.gif,cement fragment,,
6852,193113.gif,cement fragment,,
6852,193409.gif,bubble wand,,
6852,193512.gif,action figure,,
6852,193542.gif,,Exclude,
6852,193613.gif,door,,
6852,200935.gif,baby bottle,,
6852,201301.gif,,None,
6852,204402.gif,wall,,
6852,204726.gif,wall,,
6852,204953.gif,wall,,
6852,205025.gif,wall,,
6852,214324.gif,door,,
6852,214822.gif,rope,,
6852,214852.gif,shoe,,
6852,215259.gif,toy car,,
6852,215329.gif,toy car,,
6852,215431.gif,toy car,,
6852,215936.gif,apple,,
6852,220037.gif,apple,,
6852,220241.gif,door,,
6852,224330.gif,pillar,,
1566,170956.gif,pillar,,
1566,171624.gif,action figure,,
1566,220125.gif,wall,,
1566,221845.gif,door,,
6526,155805.gif,fence,,
6526,182110.gif,purse,,
8535,164559.gif,ladder,,
8535,191211.gif,ladder,,
8232,153604.gif,door,,
8232,184108.gif,door,,
8232,184138.gif,"door, tape",,
7302,151506.gif,wall,,
5978,194305.gif,door,,
1129,171452.gif,door,,
1129,181313.gif,door,,
1129,204619.gif,fence,,
1129,204649.gif,fence,,
1129,205837.gif,wash basin,,
1129,211138.gif,fence,,
1129,211311.gif,fence,,
1129,211411.gif,fence,,
1129,211442.gif,fence,,
1129,211512.gif,fence,,
1129,212148.gif,fence,,
1129,212220.gif,fence,,
1129,212250.gif,fence,,
1129,232947.gif,door,,
4197,183925.gif,fence,,
5106,192315.gif,door,,
9615,173221.gif,gravel,,
4313,045318.gif,door,,
4313,075020.gif,door,,
4313,102656.gif,wall,,
4313,105345.gif,door,,
4313,115849.gif,wash basin,,
4313,120052.gif,wash basin,,
1312,153623.gif,"bed, rice puff",,
1312,153754.gif,"bed, rice puff",,
1312,160235.gif,door,,
5437,043504.gif,post,,
5437,043535.gif,post,,
5437,043605.gif,post,,
5437,043706.gif,post,,
5437,111819.gif,door,,
5437,115213.gif,fence,,
5437,120827.gif,fence,,
5437,123807.gif,fence,,
5377,000013.gif,floor,,
5377,010318.gif,door,,
5377,033554.gif,door,,
5377,042937.gif,shelf,,
5377,043140.gif,shelf,,
7674,204245.gif,floor,,
7674,205605.gif,wall,,
8532,150316.gif,stereo system,,
8532,165622.gif,rebar,,
8532,183442.gif,rebar fragment,,
8532,183513.gif,rebar fragment,,
8532,183544.gif,rebar fragment,,
8532,183645.gif,rebar fragment,,
7328,144510.gif,rebar,,
7328,151831.gif,pillar,,
7328,161222.gif,door,,
7328,161356.gif,door,,
7328,170932.gif,pillar,,
7328,183335.gif,rebar fragment,,
7328,185054.gif,"rebar, cement fragment",,
7328,185357.gif,"cement fragment, wood fragment",,
7328,185427.gif,"cement fragment, wood fragment",,
7328,185457.gif,cement fragment,,
7328,185712.gif,cement fragment,,
7328,185744.gif,"cement fragment, wood fragment",,
7328,190146.gif,"cement fragment, wood fragment",,