sub_num,hour
7101,8
7101,9
7101,11
7101,14
7101,15
7101,16
4964,8
4964,9
4964,10
4964,11
4964,12
4964,13
3946,9
3946,10
3946,11
3946,12
3946,13
3946,14
3946,16
2802,9
2802,10
2802,11
2802,12
2802,13
2802,14
5149,8
5149,9
5149,11
5149,12
5149,13
5149,14
5028,8
5028,9
5028,10
5028,11
5028,12
5028,13
7159,8
7159,9
7159,10
7159,11
7159,12
7159,13
7504,8
7504,9
7504,10
7504,11
7504,12
7504,13
9091,8
9091,9
9091,10
9091,11
9091,12
9091,13
9091,14
9091,15
9091,16
5629,9
5629,10
5629,11
5629,12
5629,13
5629,14
5942,9
5942,10
5942,11
1902,7
1902,8
1902,9
1902,10
1902,11
1902,12
1902,13
1902,14
1902,15
6792,8
6792,9
6792,10
6792,11
6792,12
6792,13
6792,14
6792,15
6792,16
3041,8
3041,9
3041,10
3041,11
3041,12
3041,13
3041,14
3041,15
3041,16
5348,8
5348,9
5348,10
5348,11
5348,12
5348,13
5348,14
5348,15
5348,16
5348,17
7528,9
7528,10
7528,11
7528,12
7528,13
7528,14
7528,15
7528,16
7528,17
2195,9
2195,10
2195,11
2195,12
2195,13
2195,14
2195,15
2195,16
9706,9
9706,10
9706,11
9706,12
9706,14
9706,15
9706,16
9706,17
8779,8
8779,9
8779,10
8779,11
8779,12
8779,13
8779,14
8779,15
8779,16
2789,8
2789,9
2789,11
2789,12
2789,13
2789,14
2789,15
2789,16
4859,7
4859,8
4859,9
4859,10
4859,11
4859,12
4859,13
4859,14
4859,15
7333,7
7333,8
7333,9
7333,10
7333,11
7333,12
7333,14
7333,15
7333,16
7333,17
1144,7
1144,8
1144,9
1144,10
1144,11
1144,12
1144,13
1144,14
1144,15
4830,7
4830,8
4830,9
4830,10
4830,11
4830,12
4830,15
5797,7
5797,8
5797,9
5797,10
5797,11
5797,12
5797,13
5797,14
5797,15
7849,8
7849,9
7849,10
7849,11
7849,12
7849,13
7849,14
7849,15
3856,8
3856,9
3856,10
3856,11
3856,12
3856,13
3856,14
3856,15
3856,16
7718,8
7718,9
7718,10
7718,11
7718,12
7718,13
7718,14
7718,15
7718,16
5217,8
5217,9
5217,10
5217,11
5217,12
5217,13
5217,14
5217,15
1806,9
1806,10
1806,12
1806,13
1806,14
1806,15
1806,16
8648,10
8648,11
8648,12
8648,13
8648,14
8648,15
8648,17
2819,9
2819,10
2819,11
2819,12
2819,13
2819,14
2819,15
2819,16
2819,17
3124,9
3124,10
3124,11
3124,12
3124,13
3124,14
3124,15
3124,16
3124,17
9837,9
9837,10
9837,11
9837,12
9837,13
9837,14
9837,15
9837,16
9837,17
4570,10
4570,11
4570,12
4570,13
4570,14
4570,15
4570,16
7423,9
7423,10
7423,11
7423,12
7423,14
7423,15
7423,16
8104,8
8104,9
8104,10
8104,11
8104,12
8104,13
8104,14
8104,15
8104,16
1039,9
1039,10
1039,11
1039,12
1039,13
1039,14
1039,15
1039,16
1039,17
2677,8
2677,9
2677,10
2677,11
2677,12
2677,13
2677,14
2677,15
2677,17
6191,8
6191,9
6191,10
6191,12
6191,13
6191,14
6191,15
6191,16
6191,17
5064,8
5064,9
5064,10
5064,11
5064,12
5064,13
5064,14
5064,15
5064,16
5064,17
2399,10
2399,11
2399,12
2399,13
2399,14
2399,15
2399,16
2399,17
2399,18
7512,10
7512,11
7512,12
7512,13
7512,14
7512,15
7512,16
7512,17
7512,18
7959,8
7959,9
7959,10
7959,11
7959,12
7959,13
7959,14
7959,15
7959,16
7959,17
4856,8
4856,9
4856,10
4856,11
4856,12
4856,13
4856,14
4856,15
4856,16
4856,17
5994,9
5994,10
5994,11
5994,12
5994,13
5994,14
5994,15
5994,16
5994,17
4590,8
4590,9
4590,10
4590,11
4590,12
4590,13
4590,14
4590,15
4590,16
4590,17
4590,18
5499,8
5499,9
5499,10
5499,11
5499,12
5499,13
5499,14
5499,15
5499,16
5499,17
6852,9
6852,10
6852,11
6852,12
6852,13
6852,14
6852,15
6852,16
6852,17
6852,18
6852,19
1566,8
1566,9
1566,10
1566,11
1566,12
1566,13
1566,14
1566,15
1566,16
1566,17
6526,9
6526,10
6526,11
6526,12
6526,13
6526,14
6526,15
6526,16
6526,17
6526,18
1598,10
1598,11
1598,12
1598,13
1598,14
1598,15
1598,16
1598,17
1598,18
9021,9
9021,10
9021,11
9021,12
9021,13
9021,15
9021,16
9021,17
9021,18
1965,10
1965,11
1965,12
1965,13
1965,14
1965,15
1965,16
1965,17
1965,18
8535,8
8535,9
8535,10
8535,11
8535,12
8535,13
8535,14
8535,15
8535,16
8535,17
1076,9
1076,10
1076,11
1076,12
1076,13
1076,14
1076,15
1076,16
1076,17
5677,8
5677,9
5677,10
5677,11
5677,12
5677,13
5677,14
5677,15
5677,16
5677,17
5449,8
5449,9
5449,10
5449,11
5449,12
5449,13
5449,14
5449,15
5449,16
5449,17
8232,8
8232,9
8232,10
8232,11
8232,12
8232,13
8232,14
8232,16
8232,17
8232,18
1494,9
1494,10
1494,11
1494,12
1494,13
1494,15
1494,16
1494,18
7302,8
7302,9
7302,10
7302,11
7302,12
7302,13
7302,14
7302,15
7302,16
7302,17
7302,18
5978,9
5978,10
5978,11
5978,12
5978,13
5978,14
5978,15
5978,16
5978,17
5978,18
3264,8
3264,9
3264,10
3264,11
3264,12
3264,13
3264,14
3264,15
3264,16
8587,8
8587,9
8587,10
8587,11
8587,12
8587,13
8587,14
8587,15
8587,16
8587,17
3158,10
3158,11
3158,12
3158,13
3158,14
3158,15
3158,16
3158,17
3158,18
1129,8
1129,9
1129,10
1129,11
1129,12
1129,13
1129,14
1129,15
1129,16
1129,17
4197,9
4197,10
4197,11
4197,12
4197,13
4197,14
4197,15
4197,16
4197,17
5106,8
5106,9
5106,10
5106,12
5106,13
5106,17
9615,8
9615,9
9615,10
9615,11
9615,12
9615,13
9615,14
9615,15
9615,16
9615,17
7910,8
7910,9
7910,10
4313,8
4313,9
4313,10
4313,11
4313,12
4313,13
4313,14
4313,15
4313,16
4313,17
1312,9
1312,10
1312,11
1312,12
1312,13
1312,14
1312,15
1312,16
1312,17
5437,8
5437,9
5437,10
5437,11
5437,12
5437,13
5437,14
5437,15
5437,16
5437,17
5437,18
9906,11
9906,12
9906,13
9906,14
9906,15
9906,16
5377,8
5377,9
5377,10
5377,11
5377,12
5377,13
5377,14
5377,15
5377,16
5377,17
7674,8
7674,9
7674,10
7674,11
7674,12
7674,13
7674,14
7674,15
7674,16
7674,17
7674,18
7356,8
7356,9
7356,10
7356,11
7356,12
7356,13
7356,14
7356,15
7356,16
7356,17
7356,18
8532,8
8532,9
8532,10
8532,11
8532,12
8532,13
8532,14
8532,15
8532,16
8532,17
7328,8
7328,9
7328,10
7328,11
7328,12
7328,13
7328,14
7328,15
7328,16
7328,17
1509,NA
